Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);sec;Frequency (Hz);activity
102.4077196;0.03214803338;0.0519323349;-0.06353569031;102;53;Rest
102.42637590000001;0.12445467710000001;0.021498203280000003;-0.057416915889999996;102;53;Rest
102.4450322;0.007645845413000001;0.013619899750000001;0.08760356903;102;53;Rest
102.4636885;-0.051943928;-0.003988742828;0.1700992584;102;53;Rest
102.4823447;0.06581747532;-0.007541179657;0.06749248505;102;53;Rest
102.501001;0.06578367949;0.03360176086;8.678436279000001e-05;102;53;Rest
102.51965729999999;0.1519452929;0.05024719238;-0.2111320496;102;53;Rest
102.5383136;0.041632354260000004;0.08897399902000001;-0.2046260834;102;53;Rest
102.5569698;-0.049226045610000005;0.08833932877;-0.00584602356;102;53;Rest
102.5756261;-0.0055144131180000005;0.09551954269;-0.04057407379;102;53;Rest
102.5942824;-0.051116913560000005;0.09034919739;0.02569103241;102;53;Rest
102.61293859999999;-0.1321641505;0.10026788710000001;0.09855365752999999;102;53;Rest
102.6315949;-0.1940028369;0.1025218964;0.1516513824;102;53;Rest
102.6502512;-0.047201335430000005;0.0755739212;-0.05615901947000001;102;53;Rest
102.66890749999999;-0.111236006;0.04724693298;-0.05665588379;102;53;Rest
102.68756379999999;-0.04280155897;-0.034482002260000005;-0.1769742966;102;53;Rest
102.70622;0.07466614246;-0.06377696991000001;-0.2752189636;102;53;Rest
102.72487629999999;0.007388055325;-0.06309652328;-0.1915473938;102;53;Rest
102.7435326;-0.03435897827;-0.04380941391;0.0010414123540000001;102;53;Rest
102.76218879999999;0.08718717097999999;0.007836818695;0.046583175660000004;102;53;Rest
102.7808451;0.01441544294;0.0756278038;0.1302118301;102;53;Rest
102.79950140000001;-0.04431420565000001;0.1354212761;0.09314441681;102;53;Rest
102.8181577;-0.1727120578;0.1774992943;0.0106048584;102;53;Rest
102.83681390000001;-0.1137545109;0.2246599197;-0.1617593765;102;53;Rest
102.8554702;-0.006072342396;0.24708700179999998;-0.3196773529;102;53;Rest
102.8741265;-0.02572670579;0.2282924652;-0.3789930344;102;53;Rest
102.89278279999999;-0.02566242218;0.2009897232;-0.39522838590000003;102;53;Rest
102.911439;-0.026897698639999995;0.15531682970000002;-0.3199319839;102;53;Rest
102.9300953;0.011665344240000002;0.04989480972;-0.2047157288;102;53;Rest
102.9487516;0.09658604859999999;-0.012754917140000002;-0.1589097977;102;53;Rest
102.9674079;0.2168594003;-0.04390907288;-0.20350456239999998;102;53;Rest
102.9860641;0.160579741;-0.043417930599999995;-0.01884174347;102;53;Rest
103.0047204;0.1893150806;-0.03731441498;0.1243591309;102;53;Rest
103.0233767;0.2331517935;0.045209884639999996;0.1181640625;102;53;Rest
103.04203299999999;0.3279777169;0.12836265560000001;0.09277153015;102;53;Rest
103.06068929999999;0.13978642230000002;0.1827297211;0.22376441960000001;102;53;Rest
103.07934559999998;-0.012404859070000001;0.1595802307;0.33374309539999997;102;53;Rest
103.09800179999999;-0.07409656047999999;0.1003141403;0.3010320663;102;53;Rest
103.1166581;0.1184703708;-0.00010967254640000001;0.034987449649999995;102;53;Rest
103.1539706;-0.07823497057;-0.1177215576;-0.1318473816;103;53;Rest
103.17262690000001;-0.056154072279999995;-0.1411957741;-0.1477403641;103;53;Rest
103.1912832;-0.2091478407;-0.08303451537999999;0.02759456635;103;53;Rest
103.2099395;-0.1512971222;-0.0737452507;0.09391593933;103;53;Rest
103.2285957;-0.0947432518;-0.02674293518;0.02325630188;103;53;Rest
103.247252;-0.2135410607;0.05322313308999999;0.16865634920000003;103;53;Rest
103.26590829999999;0.051370263099999994;0.10293626789999999;-0.15210914609999998;103;53;Rest
103.2845646;0.030601561069999998;0.156867981;-0.31900310519999997;103;53;Rest
103.3032209;-0.08780094981;0.1961321831;-0.1771640778;103;53;Rest
103.3218771;-0.08654764295;0.23539543149999997;-0.24767398829999998;103;53;Rest
103.3405334;-0.09915915132000001;0.257833004;-0.230091095;103;53;Rest
103.3591897;-0.01014351845;0.2230830193;-0.26753234859999997;103;53;Rest
103.37784599999999;0.1461187601;0.10745763779999999;-0.2341384888;103;53;Rest
103.3965022;0.13775891070000001;0.024508476260000002;-0.1277456284;103;53;Rest
103.41515849999999;0.10558348890000001;-0.04439067841;0.022086143489999998;103;53;Rest
103.4338148;0.06175589561000001;-0.07041931152000001;0.1456565857;103;53;Rest
103.45247109999998;0.04323393106000001;-0.1212310791;0.2360134125;103;53;Rest
103.47112729999999;0.06374120712;-0.09033250809;0.11967754359999999;103;53;Rest
103.4897836;0.009538531303;-0.04376554489;0.08148288727000001;103;53;Rest
103.50843990000001;-0.1698877513;0.04495716095;0.08553028107;103;53;Rest
103.5270962;-0.3300770521;0.185593605;0.08058166504;103;53;Rest
103.54575240000001;-0.3046245873;0.2520160675;0.1050138474;103;53;Rest
103.5644087;-0.1365987659;0.2490520477;-0.11389350890000001;103;53;Rest
103.583065;0.09338730574;0.2526788712;-0.4014062881;103;53;Rest
103.6017212;0.17354422809999998;0.19524526600000003;-0.5156345367;103;53;Rest
103.6203775;0.04996103048;0.029051303860000006;-0.2892608643;103;53;Rest
103.63903379999999;-0.02535122633;-0.1187438965;-0.09479522705;103;53;Rest
103.6576901;-0.017699599269999998;-0.2790436745;0.002663612366;103;53;Rest
103.67637579999999;-0.1404800713;-0.3494777679;0.1379375458;103;53;Rest
103.6950026;-0.08091244102;-0.3150324821;0.1626749039;103;53;Rest
103.7136589;0.022107124330000002;-0.1426339149;0.1933088303;103;53;Rest
103.7323152;0.014810264109999999;0.1060333252;0.2367610931;103;53;Rest
103.75097149999999;-0.016581416130000002;0.3723168373;0.2070846558;103;53;Rest
103.7696572;0.1205416918;0.4955263138;-0.043119430539999996;103;53;Rest
103.78828399999999;0.1014186144;0.5603005886;-0.3051137924;103;53;Rest
103.8069403;0.10414505;0.4529509544;-0.5044555664;103;53;Rest
103.8255965;0.1097833514;0.2248258591;-0.5127906799;103;53;Rest
103.8442823;0.2054522634;0.019243240359999997;-0.4207601547;103;53;Rest
103.8629091;0.2671219707;-0.1675777435;-0.2084360123;103;53;Rest
103.88162659999999;0.2698580623;-0.3040280342;-0.00040912628169999997;103;53;Rest
103.9002216;0.2070175409;-0.3541088104;0.35586452479999997;103;53;Rest
103.91890749999999;0.2036914229;-0.4105081558;0.5517730713;103;53;Rest
103.9375342;0.2085119486;-0.4069085121;0.5845184326;103;53;Rest
103.95622;0.23099780079999999;-0.3204813004;0.48831939700000004;103;53;Rest
103.9748468;0.18713808059999998;-0.1516470909;0.367316246;103;53;Rest
103.9935031;0.08486056328;0.06377267837999999;0.2017345428;103;53;Rest
104.01218879999999;-0.10679185390000001;0.27617836;0.1144208908;103;53;Rest
104.0308156;-0.34426841140000003;0.44235849380000003;0.0403137207;103;53;Rest
104.0494719;-0.5107793808;0.5013480186;-0.05532455444;103;53;Rest
104.0681282;-0.585228622;0.4483747482;-0.29547405239999996;103;53;Rest
104.08687690000001;-0.6386958361;0.3103132248;-0.5536642075;103;53;Rest
104.1054407;-0.5354706049;0.1481351852;-0.8002023697;103;53;Rest
104.12412640000001;-0.3466487825;0.03656625748;-0.9144449234;103;53;Rest
104.1427533;-0.12044128779999999;-0.002394676208;-0.7789802551;104;53;Rest
104.16140949999999;-0.014269649980000002;0.0450963974;-0.4922180176;104;53;Rest
104.1800658;0.05399525166;0.1323542595;-0.1374254227;104;53;Rest
104.1987516;0.12029474970000001;0.2095398903;0.11662960050000001;104;53;Rest
104.2174078;0.118791163;0.24376297;0.3011703491;104;53;Rest
104.2360657;0.06165224313999999;0.2252988815;0.3996334076;104;53;Rest
104.2547213;-0.02902567387;0.2116107941;0.35334205630000004;104;53;Rest
104.2733472;0.041946291919999996;0.1805491447;0.02494525909;104;53;Rest
104.29203299999999;0.06597352028;0.1271619797;-0.3318853378;104;53;Rest
104.3106597;-0.06119990348999999;0.05209875107;-0.4854211807;104;53;Rest
104.329316;-0.1259908676;-0.04832553864;-0.4092493057;104;53;Rest
104.3479723;-0.02761870623;-0.1273198128;-0.28470134739999997;104;53;Rest
104.3666286;0.02195471525;-0.1470623016;-0.12162590029999999;104;53;Rest
104.3852848;0.1152212024;-0.1620001793;0.022022247310000003;104;53;Rest
104.4039706;0.1558040977;-0.19369983670000002;0.2624835968;104;53;Rest
104.4225974;0.1781386733;-0.18546962739999998;0.37043952939999997;104;53;Rest
104.4412536;0.1507967114;-0.1560268402;0.48876571659999996;104;53;Rest
104.4599099;0.201449275;-0.08920621872000001;0.38844680789999997;104;53;Rest
104.4785957;0.2469276786;-0.016355514530000004;0.1608095169;104;53;Rest
104.49722249999999;0.2163186073;0.04690599442;-0.07693386078;104;53;Rest
104.51590829999999;-0.016798079009999998;0.1449871063;-0.10683918;104;53;Rest
104.5345646;-0.0778875351;0.1711883545;-0.041597366329999996;104;53;Rest
104.5531913;0.03780341148;0.1833081245;-0.24096870420000002;104;53;Rest
104.5718772;0.07465738057999999;0.17461919780000001;-0.2596960068;104;53;Rest
104.5905038;0.08880579472000001;0.11886119839999999;-0.2720384598;104;53;Rest
104.6091601;-0.021150588990000004;0.06321001053;-0.1511831284;104;53;Rest
104.6281568;-0.1437478065;0.005712985992000001;0.070936203;104;53;Rest
104.64718609999998;-0.08184725046;-0.03621530533;0.2068195343;104;53;Rest
104.6661853;0.16272842880000002;-0.047235012050000004;0.06457328796;104;53;Rest
104.6852147;0.1693973541;-0.014108181000000001;-0.02467536926;104;53;Rest
104.7042439;0.08748847246;0.011374473570000002;0.01187896729;104;53;Rest
104.7233034;0.07751709222999999;0.04400110245;-0.01774501801;104;53;Rest
104.7423026;0.1510808468;0.05690431595;-0.129981041;104;53;Rest
104.761332;0.02975088358;0.05915117263999999;-0.08116054535;104;53;Rest
104.7803613;-0.14010518789999998;0.038777351380000005;0.1090927124;104;53;Rest
104.7994209;-0.04837834835;0.01795148849;0.09270954132;104;53;Rest
104.81841999999999;0.01524376869;0.02075242996;0.008531570435;104;53;Rest
104.8374795;0.01302337646;0.01393413544;-0.04838562012;104;53;Rest
104.85638540000001;-0.003999114037;0.02598381042;-0.1059179306;104;53;Rest
104.8750121;0.01283246279;0.02988433838;-0.2205076218;104;53;Rest
104.89369779999998;-0.1064422131;0.0509223938;-0.1715269089;104;53;Rest
104.9123541;-0.2041211724;0.07777690887;-0.052495956419999996;104;53;Rest
104.93098090000001;-0.1592516303;0.1091947556;-0.024479866030000002;104;53;Rest
104.9496372;-0.054125130179999995;0.1248755455;-0.09345436096000001;104;53;Rest
104.9683229;0.05738455057;0.07699155807;-0.1790361404;104;53;Rest
104.9869497;-0.0006170868873999999;0.04634428024;-0.086561203;104;53;Rest
105.0056355;0.029046118260000003;0.01100301743;-0.0027599334720000003;104;53;Rest
105.02426229999999;0.03498870134;-0.007005691528;0.06422615051;104;53;Rest
105.0429186;-0.05912095307999999;-0.008006095886;0.1614723206;104;53;Rest
105.06157479999999;-0.0027105808260000004;0.008289337158;0.053724288939999996;104;53;Rest
105.08026070000001;-0.01274102926;0.028350353239999994;-0.03514862061;104;53;Rest
105.09888740000001;-0.07038998603999999;0.04611682892;-0.06840229034;104;53;Rest
105.1175742;-0.09729492663999999;0.039335250849999996;-0.01641941071;104;53;Rest
105.15488570000001;-0.13960844279999998;0.05335569382;-0.048547744749999996;105;53;Rest
105.173542;-0.1066768765;0.04600858688;-0.05437469482000001;105;53;Rest
105.1921688;-0.06975007057;0.0325088501;-0.09158039093;105;53;Rest
105.210825;-0.1220791936;0.05630111694;-0.09149742126;105;53;Rest
105.2294813;-0.1650371552;0.04597520828;-0.03500366211;105;53;Rest
105.2481672;0.02512341738;0.025288581850000002;-0.1594705582;105;53;Rest
105.2667939;0.048285007479999996;-0.008906841278;-0.2281532288;105;53;Rest
105.2854797;0.05579435825;0.01277685165;-0.1996936798;105;53;Rest
105.3041064;0.1395089626;0.0396361351;-0.14617061609999998;105;53;Rest
105.3227922;0.2120171189;0.11799669269999999;-0.08585071563999999;105;53;Rest
105.34141899999999;0.18670916559999998;0.1679906845;0.037436485289999995;105;53;Rest
105.36007520000001;0.1360729933;0.162610054;0.1871957779;105;53;Rest
105.3787315;0.10324746369999999;0.1309123039;0.15599727630000002;105;53;Rest
105.3973878;0.006825447083;0.08157920837;0.1044855118;105;53;Rest
105.41607350000001;-0.07420247793;0.05666875839;0.05074119568;105;53;Rest
105.4347003;-0.06036823988;0.03065681458;-0.10338592529999999;105;53;Rest
105.4533861;-0.1815632582;-0.009088516235;-0.22857570649999998;105;53;Rest
105.4720129;-0.3244624138;0.04542541504;-0.2527256012;105;53;Rest
105.4906987;-0.1238365769;0.07212638855;-0.42460250850000003;105;53;Rest
105.5093254;-0.020824849609999998;0.054082870479999996;-0.39506626130000005;105;53;Rest
105.5280112;0.05367058516;-0.04113101959;-0.1832122803;105;53;Rest
105.54663799999999;0.1040785909;-0.07352399826;0.09995937347000002;105;53;Rest
105.56529429999999;0.2132452726;-0.1208362579;0.288977623;105;53;Rest
105.58395060000001;0.26016861199999997;-0.1153182983;0.3775758743;105;53;Rest
105.6026374;0.2580889463;-0.09013319016;0.23107242579999998;105;53;Rest
105.6212632;0.1410959363;-0.047698020939999995;0.11975479130000001;105;53;Rest
105.63994890000001;-0.026451945299999998;-0.02501726151;0.09502124786;105;53;Rest
105.6585757;-0.06735473871;0.02251815796;-0.046402931210000005;105;53;Rest
105.677232;-0.1026318073;0.07256746292;-0.1259040833;105;53;Rest
105.6958883;-0.09349501132999999;0.1154670715;-0.2265605927;105;53;Rest
